,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
146,146,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
187,187,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
236,236,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
250,250,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
291,291,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
305,305,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
346,346,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
360,360,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
364,364,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
402,402,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC",['looking for some #altcoins that will skyrocket this weekend 🔎\r\n\r\nbsc #eth #avax\xa0#ftm #gem #lowcap #altcoin #nft #btc'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
