,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
15,15,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
23,23,Bitcoin News,True,2022-03-05 16:34:04+00:00,90,267,2437101,"[{'text': 'bitcoin', 'indices': [81, 89]}, {'text': 'crypto', 'indices': [99, 106]}]","Shake Shack says participants will get 15% of their purchase back in the form of #bitcoin, and the #crypto promotio… https://t.co/ut8jAbzRSc","['shake', 'shack', 'say', 'participant', 'get', '15', 'purchase', 'back', 'form', 'bitcoin', 'crypto', 'promotio', 'httpstcout8jabzrsc']",0.0,Neutral,0.0,0.124,0.876,-0.1779,Negative
34,34,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
42,42,Bitcoin News,True,2022-03-05 16:34:04+00:00,90,267,2437101,"[{'text': 'bitcoin', 'indices': [81, 89]}, {'text': 'crypto', 'indices': [99, 106]}]","Shake Shack says participants will get 15% of their purchase back in the form of #bitcoin, and the #crypto promotio… https://t.co/ut8jAbzRSc","['shake', 'shack', 'say', 'participant', 'get', '15', 'purchase', 'back', 'form', 'bitcoin', 'crypto', 'promotio', 'httpstcout8jabzrsc']",0.0,Neutral,0.0,0.124,0.876,-0.1779,Negative
57,57,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
65,65,Bitcoin News,True,2022-03-05 16:34:04+00:00,90,267,2437101,"[{'text': 'bitcoin', 'indices': [81, 89]}, {'text': 'crypto', 'indices': [99, 106]}]","Shake Shack says participants will get 15% of their purchase back in the form of #bitcoin, and the #crypto promotio… https://t.co/ut8jAbzRSc","['shake', 'shack', 'say', 'participant', 'get', '15', 'purchase', 'back', 'form', 'bitcoin', 'crypto', 'promotio', 'httpstcout8jabzrsc']",0.0,Neutral,0.0,0.124,0.876,-0.1779,Negative
72,72,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.096,0.0,0.904,0.2023,Positive
82,82,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
90,90,Bitcoin News,True,2022-03-05 16:34:04+00:00,90,267,2437101,"[{'text': 'bitcoin', 'indices': [81, 89]}, {'text': 'crypto', 'indices': [99, 106]}]","Shake Shack says participants will get 15% of their purchase back in the form of #bitcoin, and the #crypto promotio… https://t.co/ut8jAbzRSc","['shake', 'shack', 'say', 'participant', 'get', '15', 'purchase', 'back', 'form', 'bitcoin', 'crypto', 'promotio', 'httpstcout8jabzrsc']",0.0,Neutral,0.0,0.124,0.876,-0.1779,Negative
97,97,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.096,0.0,0.904,0.2023,Positive
101,101,Josh Steimle,True,2022-03-05 05:45:50+00:00,605,4053,25452,"[{'text': 'bitcoin', 'indices': [84, 92]}]","A few days ago, I thought @saylor was some crazy guy with entertaining tweets about #bitcoin. After listening to hi… https://t.co/o3dbC5D9aK","['day', 'ago', 'thought', 'saylor', 'crazy', 'guy', 'entertaining', 'tweet', 'bitcoin', 'listening', 'hi', 'httpstcoo3dbc5d9ak']",-0.04999999999999999,Negative,0.19,0.157,0.654,0.128,Positive
105,105,Bitcoin Magazine,True,2022-03-05 15:58:17+00:00,586,3727,2227396,"[{'text': 'bitcoin', 'indices': [21, 29]}]",How it feels to HODL #bitcoin  https://t.co/mFOKVAMw7z,"['feel', 'hodl', 'bitcoin', 'httpstcomfokvamw7z']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
118,118,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
