time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1641186000,113.0,111.47,111.64,16847.82,1893487.85,112.37,direct,
1641189600,112.4,111.01,112.37,17053.17,1903363.9,111.12,direct,
1641193200,111.92,111.03,111.12,7598.86,847674.73,111.86,direct,
1641196800,112.12,111.31,111.86,9745.43,1088877.64,111.99,direct,
1641200400,112.71,111.46,111.99,24149.22,2706239.19,112.17,direct,
1641204000,112.44,110.17,112.17,41839.77,4655791.4,111.05,direct,
1641207600,112.09,111.05,111.05,23733.46,2648009.05,111.85,direct,
1641211200,112.33,111.01,111.85,20508.33,2292078.04,111.49,direct,
1641214800,112.96,111.49,111.49,33547.64,3772732.44,112.54,direct,
1641218400,113.38,111.85,112.54,31175.93,3509242.99,112.22,direct,
1641222000,112.55,110.52,112.22,33200.37,3701611.53,110.74,direct,
1641225600,111.23,107.46,110.74,116879.89,12699194.49,109.34,direct,
1641229200,110.47,108.95,109.34,35659.67,3917381.34,109.93,direct,
1641232800,110.22,108.99,109.93,32336.37,3545525.85,109.35,direct,
1641236400,109.54,108.09,109.35,22270.5,2424907.0,108.11,direct,
1641240000,108.29,105.99,108.11,90485.4,9686209.84,108.12,direct,
1641243600,108.76,107.31,108.12,37118.38,4017127.32,108.15,direct,
1641247200,109.23,108.01,108.15,43499.04,4727190.16,108.4,direct,
1641250800,108.98,108.04,108.4,30561.39,3313135.3,108.09,direct,
1641254400,108.44,106.55,108.09,46750.5,5036097.56,107.11,direct,
1641258000,107.55,105.45,107.11,57400.13,6113562.29,106.15,direct,
1641261600,106.93,105.13,106.15,33492.19,3552717.21,106.39,direct,
1641265200,106.58,105.43,106.39,61926.55,6553982.03,105.62,direct,
1641268800,105.91,104.97,105.62,26058.65,2746013.79,105.49,direct,
1641272400,106.08,104.79,105.49,31818.77,3359564.44,105.76,direct,
1641272400,106.08,104.79,105.49,31818.77,3359564.44,105.76,direct,
1641276000,106.24,105.37,105.76,50906.2,5390338.18,106.02,direct,
1641279600,106.66,106.0,106.04,33552.04,3567567.67,106.33,multiply,BTC
1641283200,106.65,105.95,106.33,9715.94,1033722.77,106.38,direct,
1641286800,106.56,105.88,106.38,14822.55,1574917.75,105.95,direct,
1641290400,107.06,105.91,105.95,19386.44,2063757.98,106.79,direct,
1641294000,107.6,106.79,106.79,14958.28,1603275.95,107.48,direct,
1641297600,107.57,106.38,107.48,15106.42,1614149.26,106.94,direct,
1641301200,107.9,106.23,106.94,27004.78,2895605.02,107.58,direct,
1641304800,108.92,107.43,107.58,34551.41,3734885.52,108.53,direct,
1641308400,109.26,107.59,108.53,43485.26,4717829.81,107.95,direct,
1641312000,107.96,106.89,107.95,31904.15,3425313.65,107.63,direct,
1641315600,108.84,107.52,107.63,39562.75,4285358.13,107.59,direct,
1641319200,108.16,104.63,107.59,54490.22,5785672.9,105.0,direct,
1641322800,105.73,103.26,105.0,83326.4,8698710.03,103.8,direct,
1641326400,105.78,103.52,103.8,70513.33,7397370.65,105.49,direct,
1641330000,105.86,105.0,105.49,45481.27,4794200.43,105.26,direct,
1641333600,105.31,104.24,105.26,16754.32,1755009.72,104.64,direct,
1641337200,104.64,102.84,104.64,31018.6,3215163.41,103.3,direct,
1641340800,105.39,102.53,103.3,48809.21,5075267.27,105.16,direct,
1641344400,105.18,103.35,105.16,37293.05,3886644.48,104.0,direct,
1641348000,105.75,104.0,104.0,29905.35,3140965.17,105.63,direct,
1641351600,106.0,105.4,105.63,16204.68,1712567.93,105.78,direct,
1641355200,105.88,105.11,105.78,18849.75,1987767.49,105.51,direct,
1641358800,105.51,104.93,105.51,14769.48,1553929.93,105.38,direct,
1641358800,105.51,104.93,105.51,14769.48,1553929.93,105.38,direct,
1641362400,106.0,105.32,105.38,15525.05,1642490.72,105.81,direct,
1641366000,106.31,105.44,105.81,22758.16,2409884.53,105.89,direct,
1641369600,106.42,105.17,105.89,34559.77,3651797.48,106.31,direct,
1641373200,106.53,105.88,106.31,25012.3,2658323.69,106.19,direct,
1641376800,106.59,105.47,106.19,18542.42,1966542.35,106.1,direct,
1641380400,106.12,104.62,106.1,17056.86,1793995.02,104.9,direct,
1641384000,105.44,103.86,104.9,25456.74,2660552.22,104.73,direct,
1641387600,105.41,104.34,104.73,25230.32,2646065.3,104.91,direct,
1641391200,105.38,104.17,104.91,25411.61,2662676.73,105.24,direct,
1641394800,105.38,104.55,105.24,22772.61,2391213.13,105.13,direct,
1641398400,105.21,104.31,105.13,19467.86,2041246.4,104.32,direct,
1641402000,104.91,102.14,104.32,44329.03,4597653.64,102.24,direct,
1641405600,103.41,100.81,102.24,89412.15,9117466.5,102.17,direct,
1641409200,102.6,97.86,102.17,140477.75,14032716.91,98.17,direct,
1641412800,99.5,96.4,98.17,198875.02,19480105.09,97.5,direct,
1641416400,98.77,96.24,97.5,90971.92,8865934.93,96.32,direct,
1641420000,97.01,90.5,96.32,227905.32,21490573.48,96.26,direct,
1641423600,98.69,95.71,96.26,112742.39,10999928.83,97.37,direct,
1641427200,98.01,96.23,97.37,41851.08,4065630.35,97.54,direct,
1641430800,97.84,95.01,97.54,44463.68,4292553.36,95.74,direct,
1641434400,96.08,94.27,95.74,63465.75,6037343.33,94.74,direct,
1641438000,94.78,92.5,94.74,69900.33,6544466.82,92.61,direct,
1641441600,94.36,91.89,92.61,80217.67,7458919.83,94.03,direct,
1641445200,95.16,93.33,94.03,49891.29,4707592.59,93.78,direct,
1641445200,95.16,93.33,94.03,49891.29,4707592.59,93.78,direct,
1641448800,94.61,93.26,93.78,31327.02,2938813.34,94.08,direct,
1641452400,95.46,93.73,94.08,41641.54,3951665.88,95.21,direct,
1641456000,95.31,93.02,95.21,22524.56,2116393.01,93.67,direct,
1641459600,93.8,91.51,93.67,43341.78,4004528.34,91.77,direct,
1641463200,93.36,91.67,91.77,36133.53,3350049.6,92.88,direct,
1641466800,93.27,91.33,92.88,33842.48,3121075.46,91.81,direct,
1641470400,93.29,91.02,91.81,48814.54,4504627.2,93.24,direct,
1641474000,94.48,93.01,93.24,48511.38,4546035.0,94.4,direct,
1641477600,95.2,93.56,94.4,39605.26,3737019.84,94.04,direct,
1641481200,94.45,93.08,94.04,30082.35,2824056.95,94.15,direct,
1641484800,94.92,93.59,94.15,44991.33,4242965.95,94.45,direct,
1641488400,95.18,93.98,94.45,32237.15,3052139.05,95.0,direct,
1641492000,96.94,94.8,95.0,62805.69,6000435.72,96.87,direct,
1641495600,97.03,96.12,96.87,45982.08,4438975.64,96.38,direct,
1641499200,96.72,95.09,96.38,47909.64,4592412.33,95.39,direct,
1641502800,95.6,94.68,95.39,59816.88,5687354.18,95.01,direct,
1641506400,95.81,94.68,95.01,24484.43,2336565.53,95.74,direct,
1641510000,95.85,94.99,95.74,25197.88,2404322.46,95.17,direct,
1641513600,95.46,93.06,95.17,56953.04,5361694.04,93.33,direct,
1641517200,94.07,93.04,93.33,33163.97,3100794.54,93.65,direct,
1641520800,93.74,92.07,93.65,32180.43,2988813.59,92.21,direct,
1641524400,92.39,87.47,92.21,165478.17,14815325.24,87.71,direct,
1641528000,88.48,85.04,87.71,252165.99,21849640.49,87.95,direct,
1641531600,89.42,87.56,87.95,106244.88,9396845.94,88.52,direct,
1641531600,89.42,87.56,87.95,106244.88,9396845.94,88.52,direct,
1641535200,88.6,86.44,88.52,86999.7,7592991.57,87.02,direct,
1641538800,88.28,85.68,87.02,67556.35,5874702.44,88.27,direct,
1641542400,90.66,87.83,88.27,78886.1,7073418.47,89.49,direct,
1641546000,90.93,89.26,89.49,36901.56,3335023.76,90.44,direct,
1641549600,90.9,89.47,90.44,24968.78,2251577.49,89.51,direct,
1641553200,90.48,89.48,89.51,16065.77,1446416.45,90.01,direct,
1641556800,91.72,90.01,90.01,42437.61,3865703.47,90.79,direct,
1641560400,91.67,87.8,90.79,62861.05,5644214.45,89.12,direct,
1641564000,90.49,88.69,89.12,63027.41,5653787.77,90.16,direct,
1641567600,90.27,85.8,90.16,118028.71,10392994.15,86.95,direct,
1641571200,89.55,85.68,86.95,149266.22,13059525.18,89.44,direct,
1641574800,89.44,88.31,89.44,54225.06,4818840.09,89.38,direct,
1641578400,89.56,87.8,89.38,24955.44,2209032.65,88.44,direct,
1641582000,89.04,87.78,88.44,37047.72,3277113.58,88.74,direct,
1641585600,89.06,87.09,88.74,36155.16,3186374.3,88.15,direct,
1641589200,88.65,87.71,88.15,26980.4,2377568.24,87.85,direct,
1641592800,88.01,86.21,87.85,30960.45,2696300.33,86.55,direct,
1641596400,86.99,86.01,86.55,63682.59,5507739.41,86.8,direct,
1641600000,88.19,85.9,86.8,75443.36,6571945.88,88.16,direct,
