,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646974800,74.0,72.77,73.1,63643.47,4677092.5,73.98,direct,
1,1646978400,75.53,73.6,73.98,41665.23,3109911.44,75.53,direct,
2,1646982000,75.85,74.92,75.53,50203.73,3787413.62,75.46,direct,
3,1646985600,76.39,75.09,75.46,39845.35,3015061.12,75.45,direct,
4,1646989200,75.48,74.88,75.45,18415.4,1384564.98,75.09,direct,
5,1646992800,75.48,75.07,75.09,9240.13,695151.35,75.18,direct,
6,1646996400,76.94,74.28,75.18,66609.09,5053636.63,76.52,direct,
7,1647000000,76.93,75.66,76.52,53143.6,4059452.58,76.09,direct,
8,1647003600,76.18,74.91,76.09,38324.02,2893689.74,75.33,direct,
9,1647007200,75.61,74.31,75.33,71537.1,5374904.19,74.59,direct,
10,1647010800,74.77,73.29,74.59,102972.67,7624048.31,73.47,direct,
11,1647014400,73.58,72.27,73.47,73153.83,5327300.09,73.16,direct,
12,1647018000,73.22,72.22,73.16,111710.08,8120973.27,72.86,direct,
13,1647021600,73.15,72.1,72.86,83589.52,6080401.99,72.13,direct,
14,1647025200,72.3,71.26,72.13,148454.46,10657269.49,71.4,direct,
15,1647028800,71.77,70.81,71.4,63308.07,4515567.6,70.9,direct,
16,1647032400,72.07,70.84,70.9,45510.88,3258023.72,71.62,direct,
17,1647036000,72.23,71.54,71.62,19872.8,1428672.66,71.92,direct,
18,1647039600,71.92,71.01,71.92,25244.58,1804680.73,71.2,direct,
19,1647043200,72.57,71.08,71.2,36570.63,2637209.24,72.48,direct,
20,1647046800,73.1,72.32,72.48,24111.02,1753890.12,72.87,direct,
21,1647050400,73.65,72.36,72.87,37337.94,2729885.51,72.55,direct,
22,1647054000,73.16,72.44,72.55,22243.41,1620079.76,72.55,direct,
23,1647057600,73.23,72.15,72.55,16848.59,1225277.32,73.01,direct,
24,1647061200,73.26,72.73,73.01,11176.28,815848.67,73.12,direct,
