,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1648496880,95.29,95.13,95.28,4000.16,380647.67,95.13,direct,
1,1648496940,95.22,95.13,95.13,468.56,44603.6,95.2,direct,
2,1648497000,95.2,94.98,95.2,1110.8,105592.11,94.98,direct,
3,1648497060,95.08,94.88,94.98,1179.91,112039.47,95.07,direct,
4,1648497120,95.07,94.62,95.07,4437.07,420586.32,94.72,direct,
5,1648497180,94.98,94.64,94.72,1401.36,132837.64,94.98,direct,
6,1648497240,95.03,94.9,94.98,445.71,42335.38,94.95,direct,
7,1648497300,95.02,94.91,94.95,228.73,21727.63,95.01,direct,
8,1648497360,95.15,95.01,95.01,888.94,84521.5,95.13,direct,
9,1648497420,95.21,95.08,95.13,467.66,44496.46,95.12,direct,
10,1648497480,95.2,95.05,95.12,300.39,28583.62,95.2,direct,
11,1648497540,95.33,95.18,95.2,529.77,50467.04,95.19,direct,
12,1648497600,95.19,95.01,95.19,1193.27,113441.85,95.06,direct,
13,1648497660,95.07,94.99,95.06,856.39,81364.08,95.02,direct,
14,1648497720,95.24,95.01,95.02,918.84,87406.29,95.19,direct,
15,1648497780,95.39,95.18,95.19,667.95,63675.88,95.3,direct,
16,1648497840,95.31,95.24,95.3,605.66,57693.84,95.24,direct,
17,1648497900,95.28,95.12,95.24,400.66,38134.44,95.16,direct,
18,1648497960,95.14,95.1,95.17,238.41,22672.07,95.1,multiply,BTC
19,1648498020,95.13,94.96,95.13,838.33,79617.52,94.99,direct,
20,1648498080,95.04,94.82,94.99,1481.67,140549.87,94.85,direct,
21,1648498140,94.95,94.83,94.85,781.71,74163.49,94.85,direct,
22,1648498200,94.9,94.74,94.85,237.08,22477.79,94.87,direct,
23,1648498260,94.91,94.43,94.87,4463.58,422235.7,94.47,direct,
24,1648498320,94.51,94.29,94.47,3350.68,316122.27,94.32,direct,
25,1648498380,94.59,94.32,94.32,1789.07,169033.84,94.54,direct,
26,1648498440,94.64,94.44,94.54,3546.69,335368.52,94.53,direct,
27,1648498500,94.79,94.53,94.53,1280.24,121197.67,94.78,direct,
28,1648498560,94.78,94.47,94.78,986.66,93354.08,94.49,direct,
29,1648498620,94.55,94.3,94.49,1064.54,100551.26,94.32,direct,
30,1648498680,94.47,94.27,94.32,1267.36,119585.7,94.36,direct,
31,1648498740,94.49,94.34,94.36,807.45,76224.0,94.41,direct,
