,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646670060,75.31,75.22,75.22,1136.13,85446.51,75.28,direct,
1,1646670120,75.28,75.15,75.28,209.94,15785.43,75.19,direct,
2,1646670180,75.24,75.19,75.19,359.69,27054.04,75.22,direct,
3,1646670240,75.28,75.13,75.22,230.19,17311.76,75.23,direct,
4,1646670300,75.23,75.23,75.23,765.91,57671.06,75.23,direct,
5,1646670360,75.35,75.23,75.23,561.93,42379.23,75.32,direct,
6,1646670420,75.44,75.32,75.32,387.83,29248.35,75.43,direct,
7,1646670480,75.47,75.4,75.43,388.7,29315.51,75.45,direct,
8,1646670540,75.45,75.35,75.45,156.98,11830.56,75.36,direct,
9,1646670600,75.36,75.34,75.36,243.72,18361.83,75.34,direct,
10,1646670660,75.34,75.12,75.34,329.08,24742.88,75.12,direct,
11,1646670720,75.12,75.01,75.12,1311.58,98432.68,75.1,direct,
12,1646670780,75.13,75.05,75.1,626.67,47049.67,75.06,direct,
13,1646670840,75.07,75.06,75.06,337.82,25349.69,75.07,direct,
14,1646670900,75.08,75.02,75.07,1072.71,80485.9,75.02,direct,
15,1646670960,75.02,75.02,75.02,1300.14,97456.05,75.02,direct,
16,1646671020,75.06,74.99,75.02,431.48,32369.84,75.05,direct,
17,1646671080,75.07,75.03,75.05,152.23,11423.15,75.05,direct,
18,1646671140,75.05,74.83,75.05,1132.55,84810.63,74.91,direct,
19,1646671200,74.91,74.71,74.91,925.19,69218.87,74.82,direct,
20,1646671260,74.82,74.73,74.82,1683.42,125883.03,74.73,direct,
21,1646671320,74.75,74.62,74.73,2477.79,184941.43,74.63,direct,
22,1646671380,74.65,74.5,74.63,468.78,34957.93,74.58,direct,
23,1646671440,74.58,74.57,74.58,325.93,24320.83,74.57,direct,
24,1646671500,74.66,74.57,74.57,594.37,44337.82,74.66,direct,
25,1646671560,74.74,74.63,74.66,294.18,21988.99,74.71,direct,
26,1646671620,74.84,74.71,74.71,351.59,26310.36,74.84,direct,
27,1646671680,74.84,74.71,74.84,4762.05,356131.52,74.79,direct,
28,1646671740,74.79,74.65,74.79,2195.07,163710.63,74.69,direct,
29,1646671800,74.69,74.42,74.69,4217.24,314347.84,74.51,direct,
30,1646671860,74.51,74.5,74.51,4694.7,349396.26,74.5,direct,
31,1646671920,74.5,74.5,74.5,1298.7,96667.83,74.5,direct,
32,1646671980,74.63,74.35,74.5,714.61,53296.88,74.59,direct,
33,1646672040,74.59,74.59,74.59,313.1,23340.47,74.59,direct,
34,1646672100,74.59,74.51,74.59,2473.25,184277.46,74.56,direct,
35,1646672160,74.56,74.43,74.56,666.55,49604.25,74.47,direct,
36,1646672220,74.47,74.27,74.47,2059.0,152991.18,74.36,direct,
37,1646672280,74.4,74.24,74.36,1547.22,114975.83,74.37,direct,
38,1646672340,74.4,74.28,74.37,218.64,16250.51,74.31,direct,
39,1646672400,74.35,74.16,74.31,1356.54,100673.95,74.2,direct,
40,1646672460,74.26,74.13,74.2,686.78,50960.33,74.25,direct,
41,1646672520,74.25,74.17,74.25,402.67,29885.66,74.21,direct,
42,1646672580,74.21,74.2,74.21,931.95,69238.5,74.2,direct,
43,1646672640,74.26,74.2,74.2,112.62,8370.06,74.26,direct,
44,1646672700,74.33,74.26,74.26,769.45,57206.75,74.33,direct,
45,1646672760,74.33,74.27,74.33,297.25,22074.53,74.27,direct,
46,1646672820,74.34,74.24,74.27,281.22,20888.69,74.29,direct,
47,1646672880,74.35,74.26,74.29,665.47,49446.5,74.31,direct,
48,1646672940,74.35,74.29,74.31,323.46,24042.72,74.31,direct,
49,1646673000,74.57,74.31,74.31,165.25,12321.46,74.57,direct,
50,1646673060,74.66,74.53,74.57,184.31,13745.51,74.53,direct,
51,1646673120,74.53,74.51,74.53,176.99,13190.5,74.51,direct,
52,1646673180,74.57,74.51,74.51,155.62,11596.18,74.52,direct,
53,1646673240,74.52,74.51,74.52,7620.01,565713.64,74.51,direct,
54,1646673300,74.51,74.34,74.51,1519.45,113074.33,74.34,direct,
55,1646673360,74.54,74.34,74.34,200.5,14941.76,74.5,direct,
56,1646673420,74.56,74.45,74.5,574.22,42757.22,74.45,direct,
57,1646673480,74.47,74.3,74.45,362.72,26971.48,74.31,direct,
58,1646673540,74.45,74.31,74.31,118.14,8791.01,74.43,direct,
59,1646673600,74.5,74.43,74.43,397.64,29613.68,74.44,direct,
60,1646673660,74.49,74.36,74.44,488.16,36338.28,74.43,direct,
61,1646673720,74.44,74.43,74.43,202.95,15116.46,74.44,direct,
62,1646673780,74.48,74.44,74.44,174.04,12958.73,74.48,direct,
63,1646673840,74.54,74.48,74.48,216.56,16135.11,74.53,direct,
64,1646673900,74.53,74.47,74.53,147.25,10971.63,74.49,direct,
65,1646673960,74.58,74.43,74.49,266.72,19866.73,74.44,direct,
66,1646674020,74.57,74.44,74.44,469.09,34945.47,74.48,direct,
67,1646674080,74.48,74.45,74.48,161.66,12045.25,74.45,direct,
68,1646674140,74.58,74.45,74.45,489.41,36546.71,74.58,direct,
69,1646674200,74.68,74.58,74.58,386.94,28905.02,74.67,direct,
70,1646674260,74.72,74.62,74.67,445.35,33235.85,74.72,direct,
71,1646674320,74.72,74.54,74.72,241.6,18019.68,74.58,direct,
72,1646674380,74.58,74.44,74.58,414.57,30894.72,74.46,direct,
73,1646674440,74.63,74.46,74.46,483.17,36036.33,74.5,direct,
74,1646674500,74.53,74.5,74.5,276.14,20576.66,74.53,direct,
75,1646674560,74.61,74.5,74.53,2134.51,158928.52,74.61,direct,
76,1646674620,74.61,74.61,74.61,1126.63,83747.26,74.61,direct,
77,1646674680,74.61,74.42,74.61,762.47,56783.57,74.43,direct,
78,1646674740,74.48,74.42,74.43,436.93,32533.33,74.46,direct,
79,1646674800,74.46,74.46,74.46,511.44,38138.66,74.46,direct,
80,1646674860,74.73,74.46,74.46,419.84,31366.23,74.73,direct,
81,1646674920,74.73,74.73,74.73,639.45,47820.9,74.73,direct,
82,1646674980,75.18,74.7,74.73,8837.26,663994.43,75.09,direct,
