,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646416200,40805.94,40782.69,40787.05,20.21,825274.57,40783.59,direct,
1,1646416260,40793.84,40782.67,40783.59,0.7493,30560.29,40793.84,direct,
2,1646416320,40798.21,40791.96,40793.84,2.376,96918.76,40798.03,direct,
3,1646416380,40816.49,40797.21,40798.03,4.488,183210.08,40816.49,direct,
4,1646416440,40853.58,40816.49,40816.49,26.03,1063336.27,40838.92,direct,
5,1646416500,40856.08,40838.92,40838.92,10.33,422013.54,40856.08,direct,
6,1646416560,40871.16,40849.12,40856.08,4.483,183160.74,40854.43,direct,
7,1646416620,40871.92,40851.23,40854.43,3.952,161502.21,40864.11,direct,
8,1646416680,40864.11,40848.99,40864.11,2.22,90700.35,40853.91,direct,
9,1646416740,40866.98,40853.91,40853.91,4.766,194712.72,40854.6,direct,
10,1646416800,40890.48,40854.45,40854.6,15.84,647299.35,40863.84,direct,
11,1646416860,40881.16,40855.66,40863.84,4.76,194532.11,40881.03,direct,
12,1646416920,40894.39,40878.38,40881.03,2.303,94159.99,40882.86,direct,
13,1646416980,40889.96,40879.77,40882.86,2.156,88154.44,40883.24,direct,
14,1646417040,40891.6,40879.48,40883.24,4.117,168320.42,40888.8,direct,
15,1646417100,40910.37,40883.33,40888.8,31.68,1295873.09,40883.49,direct,
16,1646417160,40910.22,40883.49,40883.49,2.468,100985.17,40903.0,direct,
17,1646417220,40903.31,40884.73,40903.0,0.6558,26821.75,40887.33,direct,
18,1646417280,40899.44,40885.35,40887.33,7.909,323390.47,40892.73,direct,
19,1646417340,40899.9,40883.42,40892.73,1.949,79709.76,40886.17,direct,
20,1646417400,40890.83,40842.63,40886.17,4.143,169294.2,40847.06,direct,
21,1646417460,40847.64,40843.23,40847.06,0.7929,32385.43,40846.96,direct,
22,1646417520,40850.48,40837.15,40846.96,1.45,59229.65,40837.2,direct,
23,1646417580,40837.41,40819.95,40822.71,33.71,1376306.58,40827.84,invert_divide,ETH
24,1646417640,40845.49,40828.74,40838.34,4.458,182074.39,40828.74,direct,
25,1646417700,40837.5,40817.98,40828.74,5.405,220790.1,40837.5,direct,
26,1646417760,40847.45,40817.6,40837.5,2.812,114769.82,40817.6,direct,
27,1646417820,40817.6,40745.18,40817.6,24.04,980083.63,40747.25,direct,
28,1646417880,40761.69,40747.25,40747.25,12.33,502278.66,40759.74,direct,
29,1646417940,40777.28,40759.74,40759.74,3.436,140052.59,40773.16,direct,
30,1646418000,40806.81,40773.16,40773.16,12.35,503692.26,40806.81,direct,
31,1646418060,40841.08,40806.22,40806.81,3.575,145978.36,40824.93,direct,
32,1646418120,40841.5,40796.19,40824.93,5.629,229825.54,40796.19,direct,
33,1646418180,40806.21,40773.55,40796.19,7.089,289065.05,40773.55,direct,
34,1646418240,40784.03,40762.07,40773.55,2.506,102141.82,40764.47,direct,
35,1646418300,40779.91,40763.37,40764.47,2.08,84773.24,40777.78,direct,
36,1646418360,40786.74,40776.25,40777.78,3.278,133664.88,40783.42,direct,
37,1646418420,40785.95,40769.39,40783.42,53.28,2175583.07,40769.39,direct,
38,1646418480,40801.46,40769.39,40769.39,51.86,2119990.1,40798.56,direct,
39,1646418540,40805.56,40783.03,40798.56,1.256,51243.2,40785.12,direct,
40,1646418600,40786.59,40780.11,40785.12,1.442,58797.24,40781.2,direct,
41,1646418660,40799.86,40772.57,40781.2,4.231,172584.37,40799.86,direct,
42,1646418720,40805.77,40799.86,40799.86,4.195,171295.32,40805.1,direct,
43,1646418780,40829.93,40805.1,40805.1,7.952,324555.17,40829.93,direct,
44,1646418840,40839.34,40824.69,40829.93,7.256,296064.51,40824.69,direct,
45,1646418900,40814.36,40803.28,40810.87,70.96,2896186.95,40814.36,invert_divide,ETH
46,1646418960,40828.68,40816.27,40828.59,2.606,106347.92,40816.92,direct,
47,1646419020,40816.92,40797.58,40816.92,4.089,166927.32,40797.58,direct,
48,1646419080,40826.11,40786.34,40797.58,11.01,449334.75,40819.07,direct,
49,1646419140,40831.63,40813.16,40819.07,2.019,82411.61,40830.39,direct,
50,1646419200,40830.39,40801.1,40830.39,6.544,267109.45,40807.55,direct,
51,1646419260,40809.13,40727.33,40807.55,23.08,940702.8,40727.33,direct,
52,1646419320,40729.57,40683.52,40727.33,13.28,540413.23,40683.52,direct,
53,1646419380,40703.11,40682.33,40683.52,33.82,1376038.88,40686.24,direct,
54,1646419440,40686.24,40654.55,40686.24,1.844,75010.4,40673.39,direct,
55,1646419500,40690.15,40669.98,40673.39,2.596,105618.23,40683.03,direct,
56,1646419560,40686.68,40680.45,40683.03,7.38,300215.57,40680.48,direct,
57,1646419620,40681.97,40651.9,40680.48,6.224,253087.3,40651.97,direct,
58,1646419680,40662.44,40651.21,40651.97,3.972,161524.32,40655.63,direct,
