,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646974800,38786.61,38395.28,38548.06,1157.37,44690204.69,38784.41,direct,
1,1646978400,38993.69,38711.61,38784.41,1305.04,50675911.65,38971.95,direct,
2,1646982000,39302.88,38934.28,38971.95,1262.14,49414240.59,39138.05,direct,
3,1646985600,39193.43,38896.48,39138.05,884.7,34546130.7,39054.79,direct,
4,1646989200,39195.59,38930.26,39054.79,628.67,24559007.73,39043.45,direct,
5,1646992800,39154.02,38985.07,39043.45,482.78,18860045.46,39053.29,direct,
6,1646996400,39983.5,38865.85,39053.29,3805.48,150400328.14,39895.61,direct,
7,1647000000,40221.93,39785.63,39895.61,1808.6,72308635.23,39896.72,direct,
8,1647003600,39933.74,39215.04,39896.72,2410.09,95187335.39,39279.52,direct,
9,1647007200,39589.96,39229.46,39279.52,1548.68,61005456.44,39315.15,direct,
10,1647010800,39317.25,38945.0,39315.15,2134.65,83466520.86,39082.62,direct,
11,1647014400,39089.39,38609.2,39082.62,2208.13,85579528.22,38733.44,direct,
12,1647018000,38870.44,38610.51,38733.44,1117.98,43304052.82,38824.49,direct,
13,1647021600,38869.74,38641.26,38824.49,1083.85,42016956.56,38646.28,direct,
14,1647025200,38866.27,38564.2,38646.28,1463.07,56695782.94,38790.57,direct,
15,1647028800,38941.22,38332.02,38790.57,2286.13,88256422.89,38370.28,direct,
16,1647032400,38921.57,38364.22,38370.28,1442.29,55859089.25,38856.55,direct,
17,1647036000,39103.99,38856.55,38856.55,638.53,24875226.06,38916.77,direct,
18,1647039600,38940.17,38741.02,38916.77,542.5,21068999.64,38741.03,direct,
19,1647043200,39152.2,38696.52,38741.03,694.19,27037528.15,39151.03,direct,
20,1647046800,39294.6,39087.88,39151.03,729.26,28590107.94,39193.97,direct,
21,1647050400,39265.48,39063.17,39193.97,641.83,25139408.28,39139.32,direct,
22,1647054000,39227.43,39098.82,39139.32,544.67,21315561.76,39100.76,direct,
23,1647057600,39196.2,38999.86,39100.76,474.54,18544263.45,39099.3,direct,
24,1647061200,39193.23,39059.56,39099.3,457.68,17905615.16,39175.55,direct,
