time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1649131200,46878.98,46627.32,46653.72,630.53,29488712.01,46778.01,direct,
1649134800,46839.44,46711.78,46778.01,296.51,13866460.2,46718.11,direct,
1649138400,46763.61,46579.39,46718.11,492.06,22960443.23,46619.81,direct,
1649142000,46744.24,46580.82,46619.81,493.7,23039203.33,46719.04,direct,
1649145600,46735.31,46580.57,46719.04,526.9,24573430.61,46669.01,direct,
1649149200,46709.98,46561.3,46669.01,554.21,25832998.47,46567.23,direct,
1649152800,46687.53,46526.28,46567.23,669.7,31217740.09,46655.02,direct,
1649156400,46742.89,46573.25,46655.02,424.57,19812047.74,46684.47,direct,
1649160000,47187.66,46684.41,46684.47,1859.69,87337707.53,46772.14,direct,
1649163600,46864.59,46348.41,46772.14,1678.42,78078373.86,46422.03,direct,
1649167200,46464.38,45767.89,46422.03,2756.88,126856990.86,45825.9,direct,
1649170800,45916.9,45706.66,45825.9,1190.92,54535856.59,45771.26,direct,
1649174400,46026.5,45608.55,45771.26,1569.69,71946714.91,45923.77,direct,
1649178000,46192.45,45903.58,45923.77,1363.73,62767972.93,45973.65,direct,
1649181600,45990.24,45880.19,45973.65,787.11,36160199.19,45900.46,direct,
1649185200,46055.35,45485.05,45900.46,2362.31,108134781.99,46033.52,direct,
1649188800,46110.13,45640.56,46033.52,1744.0,80035414.9,45876.4,direct,
1649192400,45961.13,45759.21,45876.4,623.93,28623726.8,45956.63,direct,
1649196000,46049.88,45794.21,45956.63,791.1,36326141.82,45855.44,direct,
1649199600,45888.6,45382.83,45855.44,1322.97,60370674.04,45501.58,direct,
1649203200,45515.59,44465.22,45501.58,4275.63,192327497.67,45019.21,direct,
1649206800,45360.57,44978.79,45019.21,1290.25,58314093.87,45190.7,direct,
1649210400,45371.95,45161.8,45190.7,752.52,34074499.18,45227.73,direct,
1649214000,45296.49,45149.55,45227.73,604.1,27322748.17,45222.36,direct,
1649217600,45381.68,45133.6,45222.36,616.29,27908142.73,45341.02,direct,
1649217600,45381.68,45133.6,45222.36,616.29,27908142.73,45341.02,direct,
1649221200,45451.13,45319.5,45341.02,564.22,25602918.1,45378.93,direct,
1649224800,45490.17,45264.8,45378.93,745.38,33832810.13,45477.51,direct,
1649228400,45518.32,45256.5,45477.51,576.15,26160473.53,45293.21,direct,
1649232000,45405.57,45190.87,45293.21,755.81,34225749.2,45384.16,direct,
1649235600,45407.73,45225.37,45384.16,795.49,36043849.86,45335.18,direct,
1649239200,45462.99,45039.75,45335.18,1374.0,62136975.52,45085.51,direct,
1649242800,45122.26,44688.32,45085.51,2254.82,101201840.78,44824.36,direct,
1649246400,44988.8,44690.77,44824.36,1196.74,53661983.81,44778.85,direct,
1649250000,44967.67,44139.62,44778.85,3146.16,139941773.18,44183.81,direct,
1649253600,44432.46,43823.55,44183.81,4244.33,187244589.51,44263.3,direct,
1649257200,44287.81,43690.46,44263.3,2883.62,126891904.68,44162.71,direct,
1649260800,44249.66,43587.96,44162.71,2899.72,127121698.45,43776.9,direct,
1649264400,43928.41,43406.12,43776.9,2622.85,114473111.0,43829.89,direct,
1649268000,44274.82,43238.77,43829.89,4534.69,198124966.87,43836.06,direct,
1649271600,43965.77,43531.76,43836.06,2219.07,97038030.24,43751.62,direct,
1649275200,44031.49,43722.65,43751.62,1957.79,85899405.05,43889.57,direct,
1649278800,43996.62,43811.81,43889.57,639.74,28089810.57,43857.46,direct,
1649282400,43868.51,43498.97,43857.46,725.41,31690306.22,43517.44,direct,
1649286000,43612.0,43129.76,43517.44,1594.03,69066577.01,43177.78,direct,
1649289600,43560.92,42766.45,43177.78,2807.73,121084242.0,42904.01,direct,
1649293200,43409.46,42883.91,42904.01,1363.94,58844340.36,43393.44,direct,
1649296800,43424.81,43126.95,43393.44,778.82,33695250.8,43365.08,direct,
1649300400,43401.51,43151.71,43365.08,897.56,38846485.11,43302.76,direct,
1649304000,43487.24,43217.02,43302.76,769.46,33342491.98,43407.27,direct,
