,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646670060,39447.58,39407.2,39412.89,10.78,425366.36,39407.2,direct,
1,1646670120,39411.13,39392.41,39407.2,4.222,166377.11,39403.67,direct,
2,1646670180,39408.84,39370.3,39403.67,8.125,320061.96,39370.8,direct,
3,1646670240,39389.44,39356.45,39370.8,5.588,220000.86,39389.15,direct,
4,1646670300,39409.36,39388.24,39389.15,29.12,1147635.14,39409.36,direct,
5,1646670360,39433.05,39406.16,39409.36,16.63,655699.51,39432.27,direct,
6,1646670420,39441.4,39419.64,39432.27,5.166,203741.76,39436.07,direct,
7,1646670480,39458.62,39432.78,39436.07,10.28,405686.42,39443.77,direct,
8,1646670540,39444.73,39402.66,39443.77,10.6,417764.84,39402.66,direct,
9,1646670600,39418.86,39387.12,39402.66,5.0,196995.25,39388.74,direct,
10,1646670660,39389.62,39351.97,39388.74,14.1,555049.64,39351.97,direct,
11,1646670720,39353.76,39342.07,39351.97,4.323,170078.6,39342.11,direct,
12,1646670780,39347.29,39328.13,39342.11,13.55,533085.26,39341.03,direct,
13,1646670840,39348.06,39321.35,39341.03,9.366,368477.84,39321.35,direct,
14,1646670900,39325.02,39281.06,39321.35,7.466,293362.98,39285.85,direct,
15,1646670960,39303.16,39271.33,39285.85,8.854,347775.8,39297.95,direct,
16,1646671020,39312.92,39297.92,39297.95,4.012,157693.23,39312.92,direct,
17,1646671080,39318.58,39297.88,39312.92,7.349,288901.55,39298.57,direct,
18,1646671140,39298.57,39242.76,39298.57,7.33,287659.27,39242.76,direct,
19,1646671200,39242.76,39163.92,39242.76,37.79,1479974.74,39201.31,direct,
20,1646671260,39203.35,39105.75,39201.31,20.49,802024.13,39144.41,direct,
21,1646671320,39144.41,39014.0,39144.41,76.26,2975988.2,39023.93,direct,
22,1646671380,39039.38,38996.56,39023.93,23.95,933555.65,39016.28,direct,
23,1646671440,39039.0,39012.62,39016.28,7.108,277246.89,39022.09,direct,
24,1646671500,39024.08,38941.89,39022.09,43.2,1683982.55,38991.61,direct,
25,1646671560,39056.35,38991.61,38991.61,29.13,1136941.49,39053.09,direct,
26,1646671620,39089.91,39048.94,39053.09,13.61,532025.31,39082.1,direct,
27,1646671680,39082.73,39040.72,39082.1,8.957,349742.19,39042.61,direct,
28,1646671740,39044.92,39000.36,39042.61,8.839,344865.87,39000.36,direct,
29,1646671800,39005.34,38975.37,39000.36,21.84,851404.55,38976.81,direct,
30,1646671860,38976.81,38913.56,38976.81,17.4,676943.95,38918.87,direct,
31,1646671920,38921.71,38886.63,38918.87,32.78,1274661.02,38920.39,direct,
32,1646671980,38950.9,38908.02,38920.39,9.625,374700.78,38950.9,direct,
33,1646672040,38950.9,38916.47,38950.9,21.45,834497.58,38916.87,direct,
34,1646672100,38916.87,38880.48,38916.87,5.791,225155.79,38885.64,direct,
35,1646672160,38892.64,38823.81,38885.64,52.52,2038908.43,38827.58,direct,
36,1646672220,38830.6,38790.85,38827.58,18.76,727852.05,38824.69,direct,
37,1646672280,38850.83,38812.67,38824.69,8.465,328777.41,38849.08,direct,
38,1646672340,38849.08,38812.82,38849.08,20.25,785506.32,38829.43,direct,
39,1646672400,38831.12,38759.94,38829.43,15.8,612422.29,38764.63,direct,
40,1646672460,38780.3,38747.78,38764.63,15.92,616908.48,38767.06,direct,
41,1646672520,38770.51,38755.16,38767.06,15.27,591860.73,38764.54,direct,
42,1646672580,38789.59,38759.92,38764.54,5.999,232561.94,38782.71,direct,
43,1646672640,38799.77,38779.66,38782.71,9.424,365566.9,38796.41,direct,
44,1646672700,38820.21,38781.46,38796.41,8.893,345090.28,38781.46,direct,
45,1646672760,38781.46,38739.22,38781.46,17.22,667099.67,38749.12,direct,
46,1646672820,38752.26,38712.99,38749.12,18.71,724479.49,38716.59,direct,
47,1646672880,38742.94,38714.67,38716.59,11.7,453068.78,38719.87,direct,
48,1646672940,38746.48,38719.87,38719.87,19.29,746632.14,38737.92,direct,
49,1646673000,38777.89,38737.92,38737.92,5.151,199644.0,38777.89,direct,
50,1646673060,38835.78,38807.63,38812.45,127.99,4968675.26,38820.81,invert_divide,ETH
51,1646673120,38796.86,38772.38,38782.33,2.987,115790.44,38791.89,direct,
52,1646673180,38792.07,38772.46,38791.89,3.589,139107.27,38774.17,direct,
53,1646673240,38774.17,38679.78,38774.17,21.44,829024.02,38720.44,direct,
54,1646673300,38786.67,38720.44,38720.44,9.1,352662.43,38769.06,direct,
55,1646673360,38843.38,38817.43,38834.53,124.12,4818485.12,38821.18,invert_divide,ETH
56,1646673420,38775.13,38728.49,38775.13,5.71,221200.33,38742.47,direct,
57,1646673480,38743.05,38678.56,38742.47,10.19,394053.82,38693.03,direct,
58,1646673540,38723.7,38693.03,38693.03,6.905,267282.13,38712.18,direct,
59,1646673600,38754.91,38712.18,38712.18,10.62,411122.54,38736.45,direct,
60,1646673660,38742.0,38727.12,38736.45,4.123,159695.33,38736.35,direct,
61,1646673720,38767.03,38736.35,38736.35,7.45,288823.27,38759.3,direct,
62,1646673780,38761.86,38742.78,38759.3,4.29,166232.62,38751.16,direct,
63,1646673840,38773.71,38751.16,38751.16,3.269,126704.93,38763.44,direct,
64,1646673900,38785.14,38761.26,38771.24,145.9,5655268.02,38761.26,invert_divide,ETH
65,1646673960,38764.23,38721.03,38756.96,8.91,345186.32,38721.03,direct,
66,1646674020,38724.55,38708.56,38721.03,6.966,269618.29,38716.02,direct,
67,1646674080,38719.86,38700.16,38716.02,5.563,215278.83,38719.51,direct,
68,1646674140,38748.05,38718.71,38719.51,9.128,353651.43,38744.27,direct,
69,1646674200,38760.49,38734.74,38744.27,4.839,187539.87,38754.13,direct,
70,1646674260,38754.21,38731.56,38754.13,7.633,295627.25,38735.88,direct,
71,1646674320,38744.56,38727.71,38735.88,3.224,124879.81,38731.93,direct,
72,1646674380,38731.93,38670.2,38731.93,12.39,479090.49,38678.22,direct,
