,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646416200,0.1263,0.1263,0.1263,63955.8,8077.27,0.1263,direct,
1,1646416260,0.1264,0.1262,0.1263,27671.2,3495.47,0.1262,direct,
2,1646416320,0.1264,0.1262,0.1262,15476.8,1955.48,0.1263,direct,
3,1646416380,0.1264,0.1263,0.1263,46049.93,5821.43,0.1264,direct,
4,1646416440,0.1266,0.1264,0.1264,68310.49,8644.97,0.1266,direct,
5,1646416500,0.1266,0.1265,0.1266,65124.9,8242.9,0.1266,direct,
6,1646416560,0.1266,0.1266,0.1266,10398.1,1316.66,0.1266,direct,
7,1646416620,0.1267,0.1266,0.1266,165767.93,20999.93,0.1267,direct,
8,1646416680,0.1267,0.1265,0.1267,49905.9,6318.11,0.1267,direct,
9,1646416740,0.1267,0.1265,0.1267,7363.9,932.31,0.1265,direct,
10,1646416800,0.1267,0.1265,0.1265,77099.7,9764.8,0.1267,direct,
11,1646416860,0.1267,0.1266,0.1267,62060.2,7860.42,0.1266,direct,
12,1646416920,0.1268,0.1266,0.1266,177549.09,22509.42,0.1268,direct,
13,1646416980,0.1268,0.1268,0.1268,41561.51,5272.72,0.1268,direct,
14,1646417040,0.1269,0.1268,0.1268,196107.72,24864.53,0.1268,direct,
15,1646417100,0.1269,0.1267,0.1268,200671.54,25450.27,0.1268,direct,
16,1646417160,0.1268,0.1268,0.1268,224921.5,28519.04,0.1268,direct,
17,1646417220,0.1268,0.1267,0.1268,33399.92,4232.64,0.1268,direct,
18,1646417280,0.1268,0.1267,0.1268,3224.7,408.73,0.1267,direct,
19,1646417340,0.1267,0.1267,0.1267,11607.17,1471.53,0.1267,direct,
20,1646417400,0.1267,0.1266,0.1267,249033.66,31535.0,0.1266,direct,
21,1646417460,0.1266,0.1265,0.1266,47673.35,6030.65,0.1265,direct,
22,1646417520,0.1265,0.1264,0.1265,118093.6,14929.99,0.1264,direct,
23,1646417580,0.1265,0.1264,0.1264,39486.4,4992.12,0.1264,direct,
24,1646417640,0.1264,0.1263,0.1264,364380.72,46047.93,0.1263,direct,
25,1646417700,0.1263,0.1263,0.1263,311146.9,39304.66,0.1263,direct,
26,1646417760,0.1265,0.1263,0.1263,56587.39,7151.06,0.1264,direct,
27,1646417820,0.1264,0.1261,0.1264,302408.06,38167.56,0.1261,direct,
28,1646417880,0.1262,0.1261,0.1261,89638.2,11310.48,0.1262,direct,
29,1646417940,0.1262,0.1261,0.1262,6616.6,834.68,0.1262,direct,
30,1646418000,0.1263,0.1262,0.1262,206252.58,26036.29,0.1263,direct,
31,1646418060,0.1263,0.1263,0.1263,66656.0,8418.82,0.1263,direct,
32,1646418120,0.1263,0.1263,0.1263,39157.3,4945.48,0.1263,direct,
33,1646418180,0.1263,0.1263,0.1263,57359.84,7236.21,0.1263,direct,
34,1646418240,0.1263,0.1261,0.1263,10063.11,1268.7,0.1262,direct,
35,1646418300,0.1262,0.126,0.1262,16950.2,2138.07,0.1262,direct,
36,1646418360,0.1262,0.1262,0.1262,85748.09,10820.1,0.1262,direct,
37,1646418420,0.1262,0.1261,0.1262,25818.2,3256.97,0.1262,direct,
38,1646418480,0.1263,0.1262,0.1262,63295.35,7991.63,0.1263,direct,
39,1646418540,0.1263,0.1263,0.1263,20325.2,2566.25,0.1263,direct,
40,1646418600,0.1263,0.1262,0.1263,42935.5,5421.66,0.1262,direct,
41,1646418660,0.1263,0.1261,0.1262,20359.5,2569.67,0.1262,direct,
42,1646418720,0.1263,0.1262,0.1262,19837.1,2505.32,0.1263,direct,
43,1646418780,0.1264,0.1263,0.1263,3294.01,416.12,0.1264,direct,
44,1646418840,0.1264,0.1264,0.1264,64009.63,8089.34,0.1264,direct,
45,1646418900,0.1265,0.1264,0.1264,58822.35,7439.04,0.1265,direct,
46,1646418960,0.1265,0.1263,0.1265,32105.2,4058.48,0.1263,direct,
47,1646419020,0.1264,0.1263,0.1263,2446.8,309.13,0.1263,direct,
48,1646419080,0.1265,0.1263,0.1263,103113.17,13026.07,0.1265,direct,
49,1646419140,0.1265,0.1264,0.1265,78947.11,9986.93,0.1265,direct,
50,1646419200,0.1266,0.1265,0.1265,71658.84,9061.55,0.1265,direct,
51,1646419260,0.1265,0.1264,0.1265,56108.48,7081.53,0.1264,direct,
52,1646419320,0.1264,0.1261,0.1264,293086.31,36916.5,0.1261,direct,
53,1646419380,0.1261,0.1259,0.1261,91995.28,11576.94,0.126,direct,
54,1646419440,0.126,0.126,0.126,96733.16,12179.43,0.126,direct,
55,1646419500,0.126,0.1258,0.126,31739.2,3996.78,0.1259,direct,
56,1646419560,0.1259,0.1259,0.1259,18667.01,2348.33,0.1259,direct,
57,1646419620,0.1259,0.1256,0.1259,355681.07,44693.7,0.1256,direct,
58,1646419680,0.1256,0.1256,0.1256,214917.8,27014.82,0.1256,direct,
59,1646419740,0.1257,0.1256,0.1256,92626.72,11634.91,0.1257,direct,
60,1646419800,0.1258,0.1256,0.1257,22608.61,2842.12,0.1258,direct,
61,1646419860,0.1258,0.1257,0.1258,95133.14,11967.78,0.1258,direct,
62,1646419920,0.1259,0.1257,0.1258,62102.87,7818.11,0.1259,direct,
63,1646419980,0.126,0.1258,0.1259,43379.9,5461.72,0.1259,direct,
64,1646420040,0.1259,0.1259,0.1259,8797.9,1107.15,0.1259,direct,
65,1646420100,0.126,0.1258,0.1259,26015.27,3277.08,0.1259,direct,
