,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646974800,0.1163,0.1153,0.1155,8639759.55,1000159.74,0.1163,direct,
1,1646978400,0.1169,0.116,0.1163,5345633.33,622590.49,0.1167,direct,
2,1646982000,0.1173,0.1166,0.1167,7060957.67,826330.51,0.117,direct,
3,1646985600,0.1172,0.1165,0.117,4464694.38,521518.74,0.1166,direct,
4,1646989200,0.117,0.1162,0.1166,3039090.07,354503.03,0.1165,direct,
5,1646992800,0.1168,0.1164,0.1165,3823999.04,445786.66,0.1166,direct,
6,1646996400,0.1183,0.1157,0.1166,16984944.54,1990035.34,0.1177,direct,
7,1647000000,0.1185,0.1174,0.1177,8226238.05,969768.15,0.1176,direct,
8,1647003600,0.1177,0.1165,0.1176,7452840.51,871933.88,0.117,direct,
9,1647007200,0.1177,0.1163,0.117,8958438.36,1047429.3,0.1165,direct,
10,1647010800,0.1165,0.1154,0.1165,13206706.13,1531114.48,0.116,direct,
11,1647014400,0.116,0.1147,0.116,12492069.08,1437998.73,0.1152,direct,
12,1647018000,0.1156,0.1149,0.1152,6098562.73,702761.24,0.1154,direct,
13,1647021600,0.1157,0.1151,0.1154,4146118.59,478622.72,0.1152,direct,
14,1647025200,0.1156,0.1151,0.1152,4116590.32,474542.61,0.1153,direct,
15,1647028800,0.1157,0.1139,0.1153,15507687.17,1781018.15,0.1144,direct,
16,1647032400,0.1164,0.1144,0.1144,9247135.92,1067397.95,0.1161,direct,
17,1647036000,0.1166,0.1158,0.1161,5630241.91,654448.11,0.116,direct,
18,1647039600,0.1161,0.1153,0.116,3996216.63,462656.79,0.1154,direct,
19,1647043200,0.1167,0.1154,0.1154,4585933.74,532630.45,0.1167,direct,
20,1647046800,0.1172,0.1165,0.1167,4915617.57,574921.77,0.1169,direct,
21,1647050400,0.1173,0.116,0.1169,7579983.47,884619.16,0.1167,direct,
22,1647054000,0.1172,0.1163,0.1167,4604678.94,537438.6,0.1163,direct,
23,1647057600,0.117,0.116,0.1163,4266960.69,497303.49,0.1167,direct,
24,1647061200,0.117,0.1164,0.1167,2488322.81,290515.76,0.117,direct,
