time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1649044800,0.1462,0.1441,0.1447,9693511.03,1406974.9,0.145,direct,
1649048400,0.1455,0.1447,0.145,6115791.17,887633.37,0.1452,direct,
1649052000,0.1453,0.1444,0.1452,5621481.68,814215.29,0.1449,direct,
1649055600,0.1449,0.1438,0.1449,8986873.01,1296657.59,0.1442,direct,
1649059200,0.1446,0.1433,0.1442,12368858.72,1780848.85,0.1439,direct,
1649062800,0.1439,0.1421,0.1439,21946996.35,3139889.47,0.1423,direct,
1649066400,0.1507,0.1415,0.1423,115944077.41,16994293.11,0.1501,direct,
1649070000,0.1565,0.1481,0.1501,230185054.41,35139652.99,0.155,direct,
1649073600,0.1551,0.1497,0.155,73874904.55,11243298.06,0.1509,direct,
1649077200,0.1517,0.1483,0.1509,50073728.66,7519320.12,0.1497,direct,
1649080800,0.1513,0.1481,0.1497,44523333.8,6670231.22,0.1484,direct,
1649084400,0.1488,0.1431,0.1484,94810500.01,13760031.78,0.1436,direct,
1649088000,0.1453,0.1429,0.1436,46145275.08,6663859.38,0.1449,direct,
1649091600,0.1457,0.1417,0.1449,32508482.84,4666655.82,0.1438,direct,
1649095200,0.1447,0.1425,0.1438,25701165.7,3693149.72,0.1444,direct,
1649098800,0.1452,0.144,0.1444,16364655.32,2366439.73,0.1446,direct,
1649102400,0.1466,0.1442,0.1446,21050118.75,3061429.26,0.1464,direct,
1649106000,0.148,0.1462,0.1464,16885556.01,2485126.83,0.1476,direct,
1649109600,0.1497,0.1473,0.1476,22742228.54,3379441.44,0.1496,direct,
1649113200,0.1507,0.1481,0.1496,39122397.63,5852433.44,0.1484,direct,
1649116800,0.1525,0.1473,0.1484,58071127.06,8676456.17,0.1498,direct,
1649120400,0.151,0.1489,0.1498,26807465.85,4023001.99,0.1501,direct,
1649124000,0.1525,0.1499,0.1501,41179081.09,6224864.01,0.151,direct,
1649127600,0.1513,0.15,0.151,14323323.69,2157117.94,0.1503,direct,
1649131200,0.1527,0.1495,0.1503,34376752.06,5204006.71,0.1522,direct,
