,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646670060,0.1217,0.1217,0.1217,105218.3,12792.55,0.1217,direct,
1,1646670120,0.1217,0.1216,0.1217,43953.2,5340.61,0.1216,direct,
2,1646670180,0.1217,0.1214,0.1216,49809.76,6049.69,0.1215,direct,
3,1646670240,0.1215,0.1213,0.1215,64178.8,7795.42,0.1214,direct,
4,1646670300,0.1215,0.1214,0.1214,75043.2,9117.15,0.1215,direct,
5,1646670360,0.1216,0.1214,0.1215,47481.9,5769.1,0.1214,direct,
6,1646670420,0.1215,0.1214,0.1214,27041.4,3283.11,0.1215,direct,
7,1646670480,0.1216,0.1215,0.1215,47249.5,5741.28,0.1215,direct,
8,1646670540,0.1215,0.1213,0.1215,163571.94,19854.34,0.1213,direct,
9,1646670600,0.1215,0.1213,0.1213,164643.7,19983.97,0.1214,direct,
10,1646670660,0.1214,0.1213,0.1214,890014.75,107810.25,0.1213,direct,
11,1646670720,0.1213,0.121,0.1213,106199.1,12851.09,0.121,direct,
12,1646670780,0.1211,0.121,0.121,149263.88,18080.36,0.1211,direct,
13,1646670840,0.1212,0.121,0.1211,189787.67,22985.8,0.1212,direct,
14,1646670900,0.1212,0.1211,0.1212,67188.25,8128.77,0.1212,direct,
15,1646670960,0.1212,0.1209,0.1212,166322.13,20117.46,0.121,direct,
16,1646671020,0.1211,0.121,0.121,66638.1,8068.45,0.121,direct,
17,1646671080,0.121,0.121,0.121,112143.76,13577.24,0.121,direct,
18,1646671140,0.1211,0.121,0.121,96418.98,11658.54,0.1211,direct,
19,1646671200,0.1211,0.121,0.1211,216095.87,26091.22,0.121,direct,
20,1646671260,0.121,0.1207,0.121,167143.94,20179.55,0.1208,direct,
21,1646671320,0.1209,0.1206,0.1208,301816.89,36412.14,0.1206,direct,
22,1646671380,0.1206,0.1205,0.1206,474029.89,57152.36,0.1206,direct,
23,1646671440,0.1207,0.1206,0.1206,33468.8,4038.84,0.1207,direct,
24,1646671500,0.1207,0.1207,0.1207,318636.44,38435.07,0.1207,direct,
