time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1641848400,3096.14,3070.42,3081.15,12218.89,37659053.24,3074.9,direct,
1641852000,3084.86,3058.21,3074.9,5273.01,16200371.63,3063.23,direct,
1641855600,3087.83,3055.67,3063.23,6096.44,18747387.4,3083.68,direct,
1641859200,3087.58,3055.59,3083.68,6921.88,21244614.28,3055.93,direct,
1641862800,3091.09,3053.43,3055.93,8293.84,25503626.22,3091.08,direct,
1641866400,3129.19,3087.62,3091.08,12734.4,39630193.08,3116.53,direct,
1641870000,3123.79,3108.48,3116.53,5957.69,18561404.22,3120.52,direct,
1641873600,3125.43,3107.86,3120.52,5901.85,18389675.12,3119.17,direct,
1641877200,3120.35,3101.98,3119.17,4468.14,13893913.47,3111.73,direct,
1641880800,3122.82,3098.7,3111.73,5122.12,15932150.17,3107.77,direct,
1641884400,3135.22,3107.77,3107.77,5231.47,16306264.34,3128.68,direct,
1641888000,3145.01,3105.39,3128.68,19249.13,60235388.87,3107.39,direct,
1641891600,3133.46,3098.18,3107.39,6671.17,20755074.95,3123.28,direct,
1641895200,3132.34,3090.0,3123.28,6668.6,20732865.16,3093.45,direct,
1641898800,3120.11,3093.0,3093.45,6791.17,21099484.8,3113.03,direct,
1641902400,3135.95,3105.38,3113.03,6388.7,19965270.47,3122.48,direct,
1641906000,3131.49,3108.46,3122.48,8143.24,25400201.36,3113.86,direct,
1641909600,3122.81,3076.37,3113.86,22478.53,69708804.49,3115.22,direct,
1641913200,3156.38,3112.06,3115.22,21691.79,68025305.43,3133.77,direct,
1641916800,3236.98,3130.86,3133.77,40213.88,128740761.03,3219.53,direct,
1641920400,3265.05,3204.18,3219.53,37972.43,122826904.11,3233.16,direct,
1641924000,3251.73,3222.48,3233.16,14782.39,47901535.05,3233.71,direct,
1641927600,3246.42,3218.61,3233.71,12561.01,40601339.49,3239.16,direct,
1641931200,3249.84,3234.75,3239.16,10251.19,33234925.97,3240.56,direct,
1641934800,3243.61,3227.91,3240.56,6859.25,22186359.96,3232.31,direct,
1641934800,3243.61,3227.91,3240.56,6859.25,22186359.96,3232.31,direct,
1641938400,3237.77,3225.56,3232.31,4811.45,15553957.66,3233.61,direct,
1641942000,3249.06,3230.23,3233.61,7262.88,23544284.36,3240.32,direct,
1641945600,3261.13,3225.86,3240.32,10307.5,33445035.41,3234.21,direct,
1641949200,3241.25,3224.62,3234.21,7641.93,24709421.65,3232.4,direct,
1641952800,3238.01,3220.18,3232.4,8113.98,26200741.26,3228.47,direct,
1641956400,3240.73,3226.01,3228.47,4089.16,13225360.44,3235.59,direct,
1641960000,3244.36,3221.53,3235.59,4963.12,16036716.39,3228.33,direct,
1641963600,3233.68,3223.12,3228.33,4356.15,14069704.66,3229.86,direct,
1641967200,3261.46,3227.16,3229.86,7957.59,25802666.18,3236.16,direct,
1641970800,3239.54,3207.8,3236.16,8137.3,26183286.02,3217.78,direct,
1641974400,3240.42,3216.02,3217.78,4838.19,15624538.41,3232.77,direct,
1641978000,3275.93,3230.19,3232.77,14601.13,47573847.46,3262.48,direct,
1641981600,3271.71,3246.61,3262.48,8667.69,28248175.53,3249.5,direct,
1641985200,3294.66,3241.61,3249.5,22027.16,72122580.43,3273.51,direct,
1641988800,3326.06,3270.5,3273.51,17584.56,58061764.35,3317.46,direct,
1641992400,3378.76,3302.17,3317.46,35156.51,117551393.73,3372.52,direct,
1641996000,3384.14,3351.96,3372.52,23162.79,77995177.71,3377.18,direct,
1641999600,3389.55,3352.44,3377.18,19960.6,67296563.36,3362.72,direct,
1642003200,3373.45,3338.18,3362.72,18650.41,62664329.3,3371.5,direct,
1642006800,3388.04,3361.11,3371.5,9338.24,31523760.09,3382.71,direct,
1642010400,3393.72,3368.32,3382.71,12018.24,40593201.41,3373.28,direct,
1642014000,3384.81,3363.65,3373.28,9366.13,31609557.36,3383.13,direct,
1642017600,3394.12,3367.93,3383.13,10251.48,34655553.37,3383.35,direct,
1642021200,3415.58,3368.58,3383.35,15865.73,53738771.48,3369.38,direct,
1642021200,3415.58,3368.58,3383.35,15865.73,53738771.48,3369.38,direct,
1642024800,3380.68,3362.87,3369.38,8580.06,28926152.56,3363.24,direct,
1642028400,3380.27,3356.05,3363.24,8544.17,28778421.7,3373.03,direct,
1642032000,3385.03,3350.94,3373.03,10413.41,35090081.26,3355.23,direct,
1642035600,3363.02,3332.18,3355.23,8616.23,28831336.59,3334.6,direct,
1642039200,3347.94,3332.97,3334.6,6459.04,21567731.71,3336.53,direct,
1642042800,3341.67,3316.7,3336.53,7023.85,23380674.34,3339.75,direct,
1642046400,3354.22,3337.13,3339.75,7578.24,25353030.54,3338.77,direct,
1642050000,3344.57,3326.2,3338.77,8124.01,27102955.44,3339.54,direct,
1642053600,3346.2,3336.95,3339.54,3621.81,12103079.23,3343.36,direct,
1642057200,3349.63,3334.71,3343.36,3736.88,12487110.63,3342.72,direct,
1642060800,3359.15,3338.94,3342.72,4789.18,16049852.02,3359.04,direct,
1642064400,3376.78,3349.74,3359.04,7408.85,24916065.63,3361.6,direct,
1642068000,3380.08,3357.63,3361.6,6290.03,21193891.06,3358.2,direct,
1642071600,3361.04,3331.79,3358.2,5351.15,17891372.42,3336.96,direct,
1642075200,3369.52,3335.05,3336.96,7020.47,23549719.49,3369.19,direct,
1642078800,3379.57,3353.95,3369.19,6628.16,22327654.11,3374.98,direct,
1642082400,3412.61,3366.84,3374.98,20257.7,68597765.75,3387.76,direct,
1642086000,3391.97,3274.0,3387.76,41590.23,137821518.61,3303.02,direct,
1642089600,3319.09,3289.02,3303.02,12629.71,41746461.88,3302.28,direct,
1642093200,3304.56,3250.36,3302.28,23926.53,78350134.15,3283.12,direct,
