,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646205240,2962.45,2961.88,2962.38,143.91,426257.65,2962.22,direct,
1,1646205300,2964.74,2960.84,2962.22,287.24,851023.61,2961.85,direct,
2,1646205360,2962.32,2960.35,2961.85,143.83,425748.7,2960.7,direct,
3,1646205420,2961.64,2959.23,2960.7,84.51,250292.88,2959.81,direct,
4,1646205480,2963.66,2959.81,2959.81,502.02,1487888.14,2962.61,direct,
5,1646205540,2964.92,2962.48,2962.61,1001.65,2969666.81,2963.57,direct,
6,1646205600,2963.8,2963.38,2963.57,80.95,239698.03,2963.38,direct,
7,1646205660,2965.08,2958.92,2963.38,186.75,552711.51,2959.64,direct,
8,1646205720,2960.85,2959.64,2959.64,469.6,1390762.9,2959.74,direct,
9,1646205780,2961.47,2959.49,2959.74,200.03,592195.93,2961.12,direct,
10,1646205840,2962.34,2961.01,2961.12,145.22,430396.31,2961.68,direct,
11,1646205900,2965.5,2959.77,2961.68,727.74,2158263.98,2965.5,direct,
12,1646205960,2970.88,2964.67,2965.5,248.65,738519.58,2970.86,direct,
13,1646206020,2972.99,2970.43,2970.86,386.92,1149679.9,2970.48,direct,
14,1646206080,2972.71,2970.37,2970.48,449.53,1336603.16,2972.55,direct,
15,1646206140,2977.38,2972.53,2972.55,434.45,1293040.01,2975.91,direct,
16,1646206200,2979.58,2975.29,2975.91,385.57,1148961.01,2979.58,direct,
17,1646206260,2981.04,2979.26,2979.58,438.79,1306385.56,2979.3,direct,
18,1646206320,2980.23,2976.08,2979.3,331.03,985290.65,2976.18,direct,
19,1646206380,2976.18,2969.36,2976.18,183.79,545872.17,2970.85,direct,
20,1646206440,2971.02,2969.1,2970.85,114.56,340197.42,2969.12,direct,
21,1646206500,2971.94,2968.33,2969.12,133.8,397486.62,2971.61,direct,
22,1646206560,2973.3,2971.55,2971.61,212.5,631799.02,2973.3,direct,
23,1646206620,2973.61,2969.43,2973.3,48.83,145051.2,2970.31,direct,
24,1646206680,2970.82,2969.91,2970.31,95.41,283357.45,2969.95,direct,
25,1646206740,2970.36,2967.76,2969.95,59.32,176154.28,2967.98,direct,
