,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646974800,2564.01,2538.09,2543.17,5497.34,14032043.8,2563.67,direct,
1,1646978400,2589.44,2562.43,2563.67,8662.19,22328007.34,2582.8,direct,
2,1646982000,2617.71,2582.54,2582.8,11418.62,29750095.71,2610.36,direct,
3,1646985600,2613.54,2593.16,2610.36,6227.57,16206178.62,2601.51,direct,
4,1646989200,2610.03,2593.83,2601.51,5168.15,13453491.56,2601.7,direct,
5,1646992800,2608.8,2598.91,2601.7,7148.81,18597639.55,2601.21,direct,
6,1646996400,2663.04,2585.44,2601.21,25880.1,67960580.35,2657.29,direct,
7,1647000000,2667.32,2647.14,2657.29,12171.09,32349212.04,2652.28,direct,
8,1647003600,2654.57,2612.8,2652.28,13102.28,34485062.56,2621.88,direct,
9,1647007200,2636.7,2606.09,2621.88,10905.57,28554667.76,2609.12,direct,
10,1647010800,2609.34,2578.66,2609.12,19390.26,50135127.58,2584.55,direct,
11,1647014400,2584.59,2553.81,2584.55,15629.5,40055935.88,2559.73,direct,
12,1647018000,2565.03,2551.09,2559.73,9902.96,25326930.96,2563.56,direct,
13,1647021600,2571.41,2557.81,2563.56,9353.33,23996777.31,2558.17,direct,
14,1647025200,2567.37,2554.23,2558.17,10896.38,27900223.69,2557.56,direct,
15,1647028800,2562.13,2531.17,2557.56,13162.98,33541749.28,2531.62,direct,
16,1647032400,2579.53,2530.4,2531.62,17420.37,44652205.96,2571.86,direct,
17,1647036000,2580.05,2567.79,2571.86,6350.01,16344028.68,2570.39,direct,
18,1647039600,2570.51,2556.56,2570.39,5678.65,14561931.01,2557.57,direct,
19,1647043200,2583.5,2555.12,2557.57,8334.33,21406196.94,2581.91,direct,
20,1647046800,2593.6,2577.26,2581.91,6464.12,16717289.44,2588.94,direct,
21,1647050400,2597.03,2577.31,2588.94,6820.17,17648060.51,2580.04,direct,
22,1647054000,2594.84,2579.1,2580.04,3294.75,8527247.66,2584.22,direct,
23,1647057600,2589.99,2572.35,2584.22,3821.91,9867712.08,2583.98,direct,
24,1647061200,2592.1,2579.05,2583.98,3407.62,8818262.77,2590.61,direct,
