,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646670060,2629.05,2625.7,2626.59,144.02,378455.07,2628.66,direct,
1,1646670120,2628.82,2627.23,2628.66,89.46,234924.96,2627.99,direct,
2,1646670180,2629.16,2627.01,2627.99,206.45,541976.12,2627.01,direct,
3,1646670240,2629.79,2626.73,2627.01,94.06,246983.54,2629.33,direct,
4,1646670300,2629.67,2629.33,2629.33,76.66,201343.85,2629.67,direct,
5,1646670360,2630.56,2629.64,2629.67,89.45,235011.19,2630.29,direct,
6,1646670420,2631.65,2629.55,2630.29,69.37,182278.56,2630.28,direct,
7,1646670480,2631.96,2629.57,2630.28,128.28,337095.45,2630.42,direct,
8,1646670540,2630.66,2629.21,2630.42,88.03,231240.14,2629.22,direct,
9,1646670600,2629.41,2628.48,2629.22,146.41,384589.09,2629.0,direct,
10,1646670660,2629.1,2627.65,2629.0,122.58,321776.67,2627.79,direct,
11,1646670720,2627.79,2625.69,2627.79,119.82,314183.13,2625.75,direct,
12,1646670780,2626.82,2623.36,2625.75,113.69,298172.76,2623.39,direct,
13,1646670840,2624.74,2622.41,2623.39,185.2,485366.99,2622.94,direct,
14,1646670900,2618.79,2618.01,2621.16,136.66,357777.12,2618.01,multiply,BTC
15,1646670960,2621.51,2620.64,2621.34,113.43,296874.16,2621.45,direct,
16,1646671020,2621.86,2620.57,2621.45,115.78,303282.87,2621.75,direct,
17,1646671080,2622.84,2620.95,2621.75,67.65,177207.16,2621.71,direct,
18,1646671140,2622.05,2620.18,2621.71,96.93,253537.53,2620.35,direct,
19,1646671200,2620.42,2618.32,2620.35,398.12,1039569.43,2619.12,direct,
20,1646671260,2619.17,2614.23,2619.12,1335.92,3482498.04,2615.17,direct,
21,1646671320,2615.37,2612.03,2615.17,390.58,1017587.92,2612.03,direct,
22,1646671380,2612.03,2609.82,2612.03,201.05,523174.07,2611.64,direct,
23,1646671440,2613.84,2611.64,2611.64,220.7,574980.11,2613.2,direct,
24,1646671500,2613.34,2610.48,2613.2,409.83,1067296.61,2611.65,direct,
25,1646671560,2614.98,2611.65,2611.65,320.48,836055.8,2614.01,direct,
26,1646671620,2614.83,2613.9,2614.01,124.79,326031.11,2614.62,direct,
27,1646671680,2615.12,2612.07,2614.62,129.39,337598.87,2613.1,direct,
28,1646671740,2613.24,2611.52,2613.1,81.77,213251.28,2611.52,direct,
29,1646671800,2611.52,2609.65,2611.52,315.29,821197.03,2609.65,direct,
30,1646671860,2609.65,2604.91,2609.65,313.59,814962.63,2604.99,direct,
31,1646671920,2605.22,2604.64,2604.99,134.41,349385.02,2604.99,direct,
32,1646671980,2608.74,2604.99,2604.99,128.97,335564.61,2608.44,direct,
33,1646672040,2609.03,2605.38,2608.44,142.39,370347.16,2605.38,direct,
34,1646672100,2605.88,2604.28,2605.38,121.8,316524.91,2604.3,direct,
35,1646672160,2604.39,2600.89,2604.3,141.45,367512.11,2600.89,direct,
36,1646672220,2600.89,2599.59,2600.89,261.15,677514.59,2600.0,direct,
37,1646672280,2600.93,2598.79,2600.0,118.19,306984.41,2600.73,direct,
38,1646672340,2600.73,2597.05,2600.73,126.27,327535.59,2597.97,direct,
39,1646672400,2598.08,2591.47,2597.97,563.32,1457245.8,2591.47,direct,
40,1646672460,2592.52,2590.32,2591.47,430.28,1113365.9,2591.84,direct,
41,1646672520,2591.88,2591.37,2591.84,404.68,1046903.36,2591.51,direct,
42,1646672580,2594.15,2589.88,2591.51,1170.41,3027863.92,2593.96,direct,
43,1646672640,2594.84,2593.32,2593.96,274.71,710904.02,2593.33,direct,
44,1646672700,2596.3,2593.33,2593.33,378.2,979598.65,2595.26,direct,
45,1646672760,2595.28,2591.19,2595.26,290.36,751033.14,2591.84,direct,
46,1646672820,2591.91,2588.9,2591.84,245.18,633738.24,2589.13,direct,
47,1646672880,2590.25,2588.91,2589.13,131.61,340097.15,2589.77,direct,
48,1646672940,2590.95,2589.51,2589.77,512.43,1324152.89,2589.56,direct,
49,1646673000,2593.06,2589.1,2589.56,383.32,992605.24,2593.06,direct,
50,1646673060,2594.23,2592.35,2593.06,127.99,331591.55,2593.23,direct,
51,1646673120,2593.76,2592.13,2593.23,398.6,1032391.03,2592.13,direct,
52,1646673180,2592.41,2591.39,2592.13,422.21,1092401.35,2591.97,direct,
53,1646673240,2591.97,2581.29,2591.97,989.95,2552590.65,2585.4,direct,
54,1646673300,2588.91,2584.34,2585.4,159.08,411131.72,2588.71,direct,
55,1646673360,2589.3,2587.57,2588.71,124.12,320846.53,2587.82,direct,
56,1646673420,2587.98,2586.11,2587.82,152.06,392922.9,2586.5,direct,
57,1646673480,2586.5,2583.64,2586.5,139.29,359517.93,2583.7,direct,
58,1646673540,2584.67,2583.59,2583.7,108.56,280310.06,2584.47,direct,
59,1646673600,2585.52,2584.47,2584.47,140.81,363677.77,2584.66,direct,
60,1646673660,2585.45,2584.26,2584.66,290.91,750467.23,2584.33,direct,
61,1646673720,2585.15,2584.27,2584.33,103.51,267202.47,2585.05,direct,
62,1646673780,2585.2,2582.72,2585.05,194.14,501147.08,2583.31,direct,
63,1646673840,2584.05,2582.83,2583.31,87.33,225480.89,2582.94,direct,
64,1646673900,2583.09,2581.5,2582.94,145.9,376573.73,2581.5,direct,
65,1646673960,2582.05,2579.61,2581.5,153.71,396343.87,2580.64,direct,
66,1646674020,2580.64,2577.38,2580.64,140.25,361482.84,2578.0,direct,
67,1646674080,2578.75,2577.26,2578.0,67.3,173525.33,2578.75,direct,
68,1646674140,2581.06,2578.67,2578.75,131.88,340328.7,2580.93,direct,
69,1646674200,2581.09,2580.28,2580.93,90.5,233587.13,2580.46,direct,
70,1646674260,2581.02,2579.39,2580.46,158.1,407750.78,2579.41,direct,
71,1646674320,2580.12,2578.75,2579.41,214.3,552611.46,2579.67,direct,
72,1646674380,2579.67,2575.38,2579.67,396.32,1020565.39,2575.72,direct,
