time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1641186000,173.83,172.04,172.11,32951.73,5702650.6,173.51,direct,
1641189600,173.57,172.79,173.51,38804.49,6722277.57,173.18,direct,
1641193200,173.2,172.51,173.18,29983.12,5182952.17,173.11,direct,
1641196800,173.45,172.67,173.11,20098.23,3479226.96,172.98,direct,
1641200400,173.38,172.41,172.98,21419.03,3702259.74,173.21,direct,
1641204000,174.54,173.21,173.21,30575.56,5317299.73,174.07,direct,
1641207600,175.0,174.05,174.07,44289.12,7729885.2,174.77,direct,
1641211200,175.03,173.92,174.77,24631.34,4299204.74,173.99,direct,
1641214800,175.39,173.88,173.99,41208.53,7202878.92,174.72,direct,
1641218400,175.89,173.92,174.72,66407.96,11627050.35,173.98,direct,
1641222000,174.51,170.87,173.98,101672.53,17537768.99,170.94,direct,
1641225600,171.36,169.0,170.94,146534.44,24913608.21,170.25,direct,
1641229200,171.7,169.93,170.25,56998.57,9738788.52,170.67,direct,
1641232800,171.42,170.54,170.67,45325.74,7748233.37,170.64,direct,
1641236400,170.87,169.94,170.64,47042.41,8019256.78,170.04,direct,
1641240000,170.08,166.68,170.04,132366.72,22262536.49,168.47,direct,
1641243600,169.95,168.04,168.47,54868.04,9274946.4,169.03,direct,
1641247200,170.66,168.58,169.03,49321.5,8373793.25,170.07,direct,
1641250800,171.06,169.54,170.07,64574.61,11004220.28,170.08,direct,
1641254400,170.36,168.05,170.08,84396.16,14297823.08,168.41,direct,
1641258000,169.5,167.77,168.41,58400.71,9838615.58,167.85,direct,
1641261600,168.26,166.98,167.85,55853.09,9363973.77,167.73,direct,
1641265200,168.05,167.0,167.73,58675.16,9834854.7,167.78,direct,
1641268800,168.25,166.49,167.78,48597.41,8130887.14,166.76,direct,
1641272400,168.19,166.57,166.76,65605.41,10983699.84,167.48,direct,
1641272400,168.19,166.57,166.76,65605.41,10983699.84,167.48,direct,
1641276000,168.17,167.06,167.48,48342.63,8110430.64,167.97,direct,
1641279600,169.11,167.53,167.97,71453.42,12009769.67,169.04,direct,
1641283200,169.61,168.38,169.04,45086.26,7620756.33,168.68,direct,
