,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646416200,91.85,91.81,91.85,852.21,78210.35,91.83,direct,
1,1646416260,91.83,91.71,91.83,651.7,59807.84,91.76,direct,
2,1646416320,91.97,91.76,91.76,3272.67,300819.75,91.94,direct,
3,1646416380,92.1,91.94,91.94,1724.88,158761.1,92.1,direct,
4,1646416440,92.27,92.1,92.1,1153.7,106380.98,92.14,direct,
5,1646416500,92.22,92.13,92.14,392.22,36157.71,92.22,direct,
6,1646416560,92.27,92.21,92.22,960.35,88588.22,92.22,direct,
7,1646416620,92.3,92.22,92.22,665.58,61409.75,92.26,direct,
8,1646416680,92.27,92.17,92.26,1353.13,124688.69,92.22,direct,
9,1646416740,92.23,92.17,92.22,1466.53,135189.0,92.19,direct,
10,1646416800,92.28,92.19,92.19,1765.88,162955.16,92.23,direct,
11,1646416860,92.36,92.2,92.23,1301.15,120082.72,92.36,direct,
12,1646416920,92.38,92.3,92.36,1446.48,133575.67,92.32,direct,
13,1646416980,92.33,92.24,92.32,1742.42,160753.38,92.24,direct,
14,1646417040,92.25,92.19,92.24,1225.82,113010.86,92.2,direct,
15,1646417100,92.26,92.19,92.2,1590.25,146647.35,92.22,direct,
16,1646417160,92.28,92.22,92.22,435.8,40202.64,92.24,direct,
17,1646417220,92.27,92.24,92.24,501.93,46313.78,92.27,direct,
18,1646417280,92.28,92.24,92.27,1244.15,114770.78,92.24,direct,
19,1646417340,92.27,92.24,92.24,405.0,37356.07,92.26,direct,
20,1646417400,92.27,92.2,92.26,1149.62,105959.22,92.22,direct,
21,1646417460,92.22,92.02,92.22,1157.83,106559.24,92.04,direct,
22,1646417520,92.04,91.94,92.04,607.2,55861.08,91.94,direct,
23,1646417580,91.98,91.93,91.94,717.02,65917.22,91.94,direct,
24,1646417640,92.02,91.9,91.94,1620.64,149005.77,91.97,direct,
25,1646417700,92.02,91.93,91.97,890.36,81866.45,92.02,direct,
26,1646417760,92.05,91.95,92.02,4656.42,428506.41,91.95,direct,
27,1646417820,91.95,91.79,91.95,4232.19,388675.88,91.81,direct,
28,1646417880,91.82,91.75,91.81,1007.01,92424.27,91.78,direct,
29,1646417940,91.8,91.77,91.78,1442.9,132432.86,91.77,direct,
30,1646418000,91.86,91.77,91.77,1039.85,95494.15,91.86,direct,
31,1646418060,91.97,91.86,91.86,1025.87,94348.8,91.94,direct,
32,1646418120,91.98,91.88,91.94,1103.35,101425.74,91.9,direct,
33,1646418180,91.91,91.84,91.9,766.0,70342.79,91.84,direct,
34,1646418240,91.86,91.74,91.84,777.8,71380.57,91.74,direct,
35,1646418300,91.8,91.72,91.74,1402.14,128650.32,91.78,direct,
36,1646418360,91.86,91.78,91.78,1015.87,93280.22,91.86,direct,
37,1646418420,91.89,91.8,91.86,914.22,83928.42,91.81,direct,
38,1646418480,91.89,91.81,91.81,1125.8,103419.84,91.88,direct,
39,1646418540,91.88,91.79,91.88,871.77,80044.48,91.8,direct,
40,1646418600,91.85,91.78,91.8,878.23,80653.87,91.85,direct,
41,1646418660,91.91,91.78,91.85,2145.64,196974.02,91.91,direct,
42,1646418720,91.91,91.87,91.91,573.05,52653.57,91.9,direct,
43,1646418780,91.92,91.87,91.9,629.67,57878.43,91.92,direct,
44,1646418840,91.98,91.89,91.92,615.53,56588.35,91.9,direct,
45,1646418900,91.95,91.9,91.9,399.74,36737.11,91.92,direct,
46,1646418960,91.92,91.85,91.92,882.07,80995.89,91.85,direct,
47,1646419020,91.87,91.81,91.85,561.4,51542.45,91.81,direct,
