,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646974800,81.49,80.3,80.57,79439.03,6428661.77,81.47,direct,
1,1646978400,82.29,81.3,81.47,77930.27,6377365.9,81.98,direct,
2,1646982000,82.59,81.98,81.98,59832.06,4928422.66,82.22,direct,
3,1646985600,82.49,81.61,82.22,54375.59,4460971.05,81.94,direct,
4,1646989200,82.38,81.83,81.94,34439.55,2827190.53,82.01,direct,
5,1646992800,82.21,81.8,82.01,28905.18,2369126.56,81.93,direct,
6,1646996400,83.86,81.29,81.93,195750.2,16219690.89,83.33,direct,
7,1647000000,84.28,83.31,83.33,177794.69,14882192.05,83.53,direct,
8,1647003600,83.66,82.46,83.53,123851.94,10269058.13,82.64,direct,
9,1647007200,83.17,82.2,82.64,97078.5,8027259.98,82.39,direct,
10,1647010800,82.4,81.41,82.39,125182.73,10235506.8,81.75,direct,
11,1647014400,81.78,80.56,81.75,173178.1,14018757.79,80.94,direct,
12,1647018000,81.07,80.62,80.94,84338.95,6820825.12,80.97,direct,
13,1647021600,81.39,80.59,80.97,70408.2,5705054.11,80.63,direct,
14,1647025200,81.15,80.41,80.63,138303.4,11156238.82,80.57,direct,
15,1647028800,80.96,80.09,80.57,95508.52,7693547.3,80.32,direct,
16,1647032400,81.53,80.3,80.32,85007.3,6895984.49,81.27,direct,
17,1647036000,81.5,81.04,81.27,38813.53,3155371.48,81.17,direct,
18,1647039600,81.3,80.59,81.17,60579.32,4905114.33,80.67,direct,
19,1647043200,81.73,80.64,80.67,59955.03,4872344.84,81.55,direct,
20,1647046800,82.41,81.55,81.55,59889.89,4909957.64,82.38,direct,
21,1647050400,82.72,81.84,82.38,49024.93,4031467.3,82.06,direct,
22,1647054000,82.34,81.78,82.06,48944.7,4016300.02,81.82,direct,
23,1647057600,82.48,81.36,81.82,77368.96,6349590.44,82.05,direct,
24,1647061200,82.23,81.83,82.05,30332.1,2488574.85,82.08,direct,
