,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1646670060,85.89,85.75,85.87,2471.72,212141.66,85.77,direct,
1,1646670120,85.77,85.72,85.77,1158.76,99290.32,85.74,direct,
2,1646670180,85.75,85.65,85.74,1289.04,110497.07,85.65,direct,
3,1646670240,85.71,85.63,85.65,2200.71,188722.15,85.71,direct,
4,1646670300,85.81,85.71,85.71,538.48,46199.19,85.79,direct,
5,1646670360,85.81,85.72,85.79,1717.29,147280.68,85.73,direct,
6,1646670420,85.76,85.7,85.73,370.04,31717.41,85.75,direct,
7,1646670480,85.75,85.7,85.75,1046.58,89738.83,85.7,direct,
8,1646670540,85.71,85.66,85.7,1039.79,89062.13,85.67,direct,
9,1646670600,85.72,85.58,85.67,2427.86,207773.49,85.6,direct,
10,1646670660,85.6,85.43,85.6,1063.19,90812.12,85.43,direct,
11,1646670720,85.44,85.37,85.43,900.89,76899.07,85.43,direct,
12,1646670780,85.45,85.37,85.43,792.02,67635.53,85.4,direct,
13,1646670840,85.4,85.37,85.4,606.58,51772.03,85.37,direct,
14,1646670900,85.37,85.19,85.37,1629.48,138849.87,85.2,direct,
15,1646670960,85.2,85.12,85.2,1860.52,158363.42,85.2,direct,
16,1646671020,85.21,85.18,85.2,327.38,27895.2,85.21,direct,
17,1646671080,85.24,85.14,85.21,2191.07,186652.77,85.16,direct,
18,1646671140,85.19,85.12,85.16,750.85,63911.28,85.13,direct,
19,1646671200,85.13,84.98,85.13,3383.99,287580.9,85.05,direct,
20,1646671260,85.06,84.94,85.05,2572.92,218577.26,85.0,direct,
21,1646671320,85.0,84.8,85.0,3016.95,255877.03,84.8,direct,
22,1646671380,84.85,84.72,84.8,2147.48,181965.02,84.78,direct,
23,1646671440,84.91,84.77,84.78,806.63,68441.44,84.87,direct,
24,1646671500,84.88,84.79,84.87,1605.75,136172.87,84.86,direct,
25,1646671560,85.02,84.83,84.86,2224.72,189114.64,84.99,direct,
26,1646671620,85.07,84.98,84.99,440.23,37439.33,85.05,direct,
27,1646671680,85.05,84.88,85.05,886.44,75254.08,84.88,direct,
28,1646671740,84.88,84.72,84.88,1883.64,159616.71,84.72,direct,
29,1646671800,84.76,84.64,84.72,1741.44,147398.79,84.67,direct,
30,1646671860,84.67,84.51,84.67,4179.17,353228.67,84.52,direct,
